2.0,"['19', '3', '6', '2', '11', '14', '10', '1', '8']",4.6690833033052535,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40","0.06795528734752879, 0.09741687075492594, 0.11881304750296158, 0.1256401826384732, 0.12062533951503174, 0.10778390578893123, 0.09101259002612984, 0.07337277998229819, 0.056889749715224314, 0.04265512338677274, 0.031058312002016645, 0.022034638166623474, 0.015273267640729993, 0.010366370030433373, 0.006902452160977623, 0.004515983002064194, 0.0029071394685873508, 0.0018435618343621589, 0.0011528609207618178, 0.0007115726130170191, 0.00043384614583650085, 0.0002614808808098263, 0.00015588783666060192, 9.19826351559437e-5, 5.374644825043988e-5, 3.11137041700998e-5, 1.7852607954692412e-5, 1.0157175196832727e-5, 5.732243957963238e-6, 3.2099864378838387e-6, 1.7841999091582594e-6, 9.846238967696795e-7, 5.396340541291421e-7, 2.937904850667054e-7, 1.5892246214970194e-7, 8.543483645405626e-8, 4.56534517136617e-8, 2.4253938911223324e-8, 1.2812589727399579e-8, 6.7314519195115555e-9, 3.5177471680761233e-9",ARI
7.0,"['8', '2', '5', '3', '1', '9', '7', '10', '4']",6.5918604737274356,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40","0.024781123664496647, 0.04694494336402301, 0.06952255218302636, 0.0873210079781206, 0.09821517929163778, 0.10181577875223576, 0.09900784192384664, 0.09137939296717279, 0.08071987514293791, 0.06866970291889458, 0.056530126869405194, 0.04520313514875707, 0.035217664689584455, 0.026801026349727506, 0.019964472433377248, 0.014583341553535675, 0.010462023059643506, 0.007380931536667075, 0.0051268215333831165, 0.003509709667572412, 0.002370141788473388, 0.0015801902740113134, 0.0010408588432412266, 0.0006778072526030888, 0.0004366265644524422, 0.0002783798468822689, 0.00017575308644902557, 0.00010992622785721715, 6.81416420969354e-5, 4.1879573773054923e-5, 2.5528368951466665e-5, 1.5438901616570713e-5, 9.266448843994142e-6, 5.521227772419168e-6, 3.266606124306151e-6, 1.9195630440630095e-6, 1.120601587871345e-6, 6.50033440794099e-7, 3.7475057122896216e-7, 2.1475941355255952e-7, 1.2236061418542565e-7",ATL
10.0,"['7', '1', '8', '2', '10', '5', '6', '3', '4']",4.6961059591977286,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40","0.06566758672244202, 0.09598053792119704, 0.11809970781442015, 0.12563429481738314, 0.12112416231441323, 0.10854185459305726, 0.09182540484047409, 0.07410793620541564, 0.05748313432777623, 0.04309283272937289, 0.03135610731537045, 0.02222127631457309, 0.015379509199104862, 0.01041909444243634, 0.006922430966893449, 0.004517835809053674, 0.0029003335472123767, 0.001833721795120648, 0.001142993209938512, 0.0007030415460238665, 0.00042707340896825627, 0.0002564053340027593, 0.00015224393937522242, 8.945384367642615e-5, 5.2039985095776836e-5, 2.9989276836621576e-5, 1.7126906575084014e-5, 9.697338657878977e-6, 5.445641431761409e-6, 3.0340138389521664e-6, 1.6776282369148189e-6, 9.208964356540597e-7, 5.019733414018172e-7, 2.7177830307203216e-7, 1.46189108211199e-7, 7.814051349846543e-8, 4.151328576218443e-8, 2.192453525489867e-8, 1.1512872350738487e-8, 6.012010449910328e-9, 3.1225313721525854e-9",BAL
9.0,"['8', '5', '9', '6', '10', '2', '3', '12', '4']",4.755644503523751,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40","0.06409993599434641, 0.094147756333651, 0.11638033953174975, 0.12440279186409729, 0.12053244302951137, 0.10856021726411053, 0.09231644214018214, 0.07489646877835475, 0.0584051872529632, 0.044021141095492315, 0.03220713378716127, 0.022950857723711613, 0.01597338231499979, 0.010882578830859633, 0.007271592039379663, 0.004772992243489374, 0.003081888803886215, 0.0019598803728049247, 0.0012288089473230371, 0.0007602965478199106, 0.0004646028549068282, 0.0002806073590866671, 0.00016761750580246556, 9.90831501717097e-5, 5.799264877542447e-5, 3.36240285397031e-5, 1.932071214702872e-5, 1.1007005877601863e-5, 6.219416262785801e-6, 3.4866884884096655e-6, 1.9399786500835224e-6, 1.0715880342719823e-6, 5.87791584705389e-7, 3.2025252506979956e-7, 1.7335521830850592e-7, 9.325046044302338e-8, 4.9856640926993194e-8, 2.649936815677935e-8, 1.4004440202048649e-8, 7.360141422423563e-9, 3.847377083035942e-9",BOS
4.0,"['3', '4', '6', '7', '2', '1', '16', '11', '14']",5.178732035509921,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40","0.05342861791136962, 0.08160953299054569, 0.10454994240653959, 0.11575908542678234, 0.11613619180582858, 0.1082876021036799, 0.09531583064420623, 0.08003429311019707, 0.06458881129064796, 0.05037656469277421, 0.03813789995152316, 0.028120397788764434, 0.020249812091368037, 0.014273939729466101, 0.009867745135376936, 0.006701093767575175, 0.004476412053229674, 0.0029450558401465476, 0.0019102620975677814, 0.0012227307210785307, 0.0007729727805373799, 0.0004829607497155459, 0.0002984413336063311, 0.00018250012320536205, 0.00011049874110721638, 6.62754645939096e-5, 3.9395147676424046e-5, 2.321686335843623e-5, 1.357053962856869e-5, 7.869957439401995e-6, 4.529671405212602e-6, 2.5882548348948803e-6, 1.4686253593002865e-6, 8.27728419894106e-7, 4.6348868254121404e-7, 2.5790482307224934e-7, 1.4263863997965525e-7, 7.842506520742954e-8, 4.2873592677007e-8, 2.3308517411473626e-8, 1.2603677165721187e-8",CHC
3.0,"['4', '7', '2', '9', '5', '6', '1', '3', '15']",3.47920399138773,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40","0.11865060293846524, 0.14462566461948753, 0.15460880716125877, 0.14386016386363057, 0.12182246855159311, 0.09616036445340573, 0.07180598757844565, 0.051232057740843565, 0.03517480269417148, 0.023363754440571233, 0.015075193055022093, 0.009480089719430004, 0.005825639278545647, 0.0035059699992937023, 0.002070163273525519, 0.0012011882379394715, 0.0006858203302365732, 0.0003857518761596834, 0.00021396690402628458, 0.00011714296158558427, 6.335242980282808e-5, 3.386860713088e-5, 1.7910005426019168e-5, 9.373652851751253e-6, 4.85806834763468e-6, 2.494397655366357e-6, 1.2694152398019951e-6, 6.405451209928258e-7, 3.2059881646296e-7, 1.5921570105842567e-7, 7.847947343051305e-8, 3.840580207393575e-8, 1.8664806173500736e-8, 9.010380989139712e-9, 4.3217096428286186e-9, 2.0599362564078897e-9, 9.759433781512642e-10, 4.5967341447497475e-10, 2.1528027321920646e-10, 1.0026760236513915e-10, 4.644999925668219e-11",CHW
4.0,"['3', '7', '11', '1', '21', '16', '2', '8', '15']",5.070271288964828,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40","0.05541005404871498, 0.08438100154284169, 0.10745978697696915, 0.1181536256548596, 0.11763677256266312, 0.1087997439772624, 0.09495598057933578, 0.07903242701004032, 0.06320375240143501, 0.04883939743449023, 0.036624049176760064, 0.02674360419668719, 0.019069401412257915, 0.013307991855941741, 0.00910708804298811, 0.006121320634375595, 0.004046840709150031, 0.0026346226657141722, 0.0016908765813350877, 0.001070783639633275, 0.0006696491658906101, 0.0004138754013507922, 0.0002529623420551997, 0.00015299085439905773, 9.160791757582337e-5, 5.433396594095946e-5, 3.193561772852909e-5, 1.8608976970557563e-5, 1.0754150960863651e-5, 6.1657563728004275e-6, 3.508259365912534e-6, 1.981619101327783e-6, 1.1114513880478524e-6, 6.19174036503693e-7, 3.426805490193713e-7, 1.8845867186422298e-7, 1.0301059675193155e-7, 5.5971911241633256e-8, 3.023840475729918e-8, 1.624505957316429e-8, 8.680128524174208e-9",CIN
0.0,"['6', '4', '5', '9', '2', '3', '8', '16', '7']",3.9804346560750945,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40","0.0984672060189797, 0.1237407426749223, 0.13834689360005734, 0.13549543422833668, 0.12126191444414337, 0.10146485360453154, 0.0805104066687474, 0.0611620711335359, 0.04478937019546927, 0.03177970564139716, 0.021934248034950903, 0.014772556120727878, 0.009733148399624603, 0.006286777916542874, 0.003987904528003881, 0.0024880133990907768, 0.0015286559435737884, 0.0009259755740105857, 0.0005535350565841641, 0.00032682814802664263, 0.00019074512059812548, 0.00011011401427093977, 6.291443014523119e-5, 3.559711468044226e-5, 1.9954993450410812e-5, 1.1088059414123337e-5, 6.1094954637930506e-6, 3.3393621258447005e-6, 1.811253706404729e-6, 9.751913466837529e-7, 5.213406672476637e-7, 2.768161236970144e-7, 1.460183127911071e-7, 7.653670829329658e-8, 3.9872368833585194e-8, 2.0649093754465853e-8, 1.063255738235953e-8, 5.444500425072305e-9, 2.7728912502997056e-9, 1.404845757051307e-9, 7.08121682071562e-10",CLE
7.0,"['18', '8', '9', '13', '2', '5', '1', '3', '4']",4.103305533544361,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40","0.08754275004410002, 0.11768275716320681, 0.13576966115390676, 0.1359450698359894, 0.1236600577945832, 0.10472802708246426, 0.08383658564934411, 0.06408554910113635, 0.047119372072881985, 0.03350495679827381, 0.02313712805508629, 0.015568432019236073, 0.010234959241718189, 0.006588697368728249, 0.004160974833422574, 0.002582024281017249, 0.0015764698464684405, 0.0009481631593871902, 0.0005623417431377922, 0.00032917896354684074, 0.00019033935212631138, 0.00010879342135204909, 6.150837691664286e-5, 3.441725624682065e-5, 1.9070292725792054e-5, 1.0468516317591206e-5, 5.695731415553901e-6, 3.0727255049437925e-6, 1.6442471424075296e-6, 8.730235425295792e-7, 4.600822236278747e-7, 2.40724625989528e-7, 1.250826076585842e-7, 6.456128598439952e-8, 3.310901580828403e-8, 1.687378212271585e-8, 8.547865794284515e-9, 4.304903501857284e-9, 2.1557868800445096e-9, 1.073634304584816e-9, 5.318414830178032e-10",COL
0.0,"['10', '4', '7', '12', '2', '20', '9', '14', '21']",3.9117564068379878,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40","0.09799457073101059, 0.1257124291025289, 0.14110919735980487, 0.13798966854627853, 0.12287607452954563, 0.10203996185509565, 0.08019435336845149, 0.06024073554759466, 0.04355994341153851, 0.03048142597082162, 0.02072584902106409, 0.01373820382466942, 0.008900882907410815, 0.005648943690059461, 0.003518237677226626, 0.002153675153338701, 0.0012975097881149605, 0.0007702259326095917, 0.00045096365941501003, 0.00026065603370492097, 0.00014884707317972996, 8.403609379197124e-5, 4.693738972375425e-5, 2.595061148987214e-5, 1.4209415503747803e-5, 7.709180943384594e-6, 4.146007965784777e-6, 2.211117680387434e-6, 1.1697945162007473e-6, 6.141394695959073e-7, 3.200491794735243e-7, 1.6560799630421505e-7, 8.510878284334241e-8, 4.345116843565869e-8, 2.2042493078774684e-8, 1.111331559367344e-8, 5.5697500140421926e-9, 2.7753437684469644e-9, 1.3751869194233648e-9, 6.777050878249981e-10, 3.3221539909272576e-10",DET
